tourn_Season,tourn_WTeamID,tourn_WTeamName,tourn_WScore,tourn_LTeamID,tourn_LTeamName,tourn_LScore,tourn_WLoc,tourn_NumOT,tourn_WFGM,tourn_WFGA,tourn_WFGM3,tourn_WFGA3,tourn_WFTM,tourn_WFTA,tourn_WOR,tourn_WDR,tourn_WAst,tourn_WTO,tourn_WStl,tourn_WBlk,tourn_WPF,tourn_LFGM,tourn_LFGA,tourn_LFGM3,tourn_LFGA3,tourn_LFTM,tourn_LFTA,tourn_LOR,tourn_LDR,tourn_LAst,tourn_LTO,tourn_LStl,tourn_LBlk,tourn_LPF
2023,1338,Pittsburgh,60,1280,Mississippi St,59,N,0,21,54,9,19,9,15,5,20,10,6,7,4,12,24,63,6,23,5,7,14,28,14,14,1,4,18
2023,1394,TAM C. Christi,75,1369,SE Missouri St,71,N,0,22,57,4,18,27,35,14,30,10,14,3,1,18,27,57,8,26,9,20,6,22,17,12,11,2,31
2023,1113,Arizona St,98,1305,Nevada,73,N,0,35,55,11,21,17,24,4,22,21,5,5,4,17,25,52,11,21,12,14,5,18,19,11,3,0,18
2023,1192,F Dickinson,84,1411,TX Southern,61,N,0,23,46,11,27,27,31,5,25,13,14,8,2,15,26,62,1,17,8,9,8,19,16,14,8,0,24
2023,1104,Alabama,96,1394,TAM C. Christi,75,N,0,33,70,15,33,15,23,14,32,21,8,4,8,18,26,75,7,20,16,18,11,23,8,6,4,3,18
2023,1116,Arkansas,73,1228,Illinois,63,N,0,24,63,3,11,22,29,10,29,4,11,12,4,19,20,52,6,22,17,26,2,27,10,16,10,5,19
2023,1120,Auburn,83,1234,Iowa,75,N,0,29,63,8,22,17,22,7,28,14,7,6,5,18,28,68,7,27,12,17,12,25,11,8,4,2,18
2023,1181,Duke,74,1331,Oral Roberts,51,N,0,31,64,6,16,6,9,12,30,13,8,7,6,15,19,63,8,32,5,8,8,20,10,9,3,5,8
2023,1202,Furman,68,1438,Virginia,67,N,0,22,56,10,28,14,19,5,22,11,9,4,3,17,24,54,2,12,17,22,8,27,13,8,4,7,13
2023,1222,Houston,63,1297,N Kentucky,52,N,0,25,51,4,16,9,10,9,28,13,14,3,4,14,19,69,5,33,9,10,17,14,7,7,9,1,12
2023,1242,Kansas,96,1224,Howard,68,N,0,38,73,9,22,11,13,14,23,22,12,13,7,11,26,67,10,32,6,10,10,21,18,18,8,1,14
2023,1268,Maryland,67,1452,West Virginia,65,N,0,23,45,6,18,15,22,8,17,12,13,7,5,19,22,56,8,19,13,16,9,17,7,10,6,2,24
2023,1281,Missouri,76,1429,Utah St,65,N,0,27,53,10,25,12,18,2,23,15,9,9,1,15,28,59,4,24,5,8,8,23,12,14,5,2,11
2023,1321,Northwestern,75,1129,Boise St,67,N,0,26,53,8,21,15,18,8,22,9,7,7,0,16,26,65,6,23,9,14,18,20,15,9,2,0,17
2023,1336,Penn St,76,1401,Texas A&M,59,N,0,27,56,13,22,9,11,7,20,14,5,5,1,11,20,59,10,34,9,12,15,17,9,10,3,2,15
2023,1343,Princeton,59,1112,Arizona,55,N,0,26,64,4,25,3,5,7,28,9,11,8,6,15,24,57,3,16,4,7,6,29,10,13,5,1,14
2023,1361,San Diego St,63,1158,Col Charleston,57,N,0,24,56,4,16,11,18,6,31,13,14,4,7,18,18,56,5,24,16,19,8,23,9,10,9,2,18
2023,1397,Tennessee,58,1418,Louisiana,55,N,0,21,46,4,16,12,21,5,22,16,16,9,4,14,22,55,6,18,5,9,6,17,12,14,8,0,19
2023,1400,Texas,81,1159,Colgate,61,N,0,31,58,13,23,6,8,11,23,20,13,7,5,12,25,58,3,15,8,9,9,14,6,10,11,3,11
2023,1417,UCLA,86,1421,UNC Asheville,53,N,0,34,63,5,16,13,17,11,22,24,7,11,4,11,19,51,6,20,9,13,5,14,9,16,5,4,15
2023,1124,Baylor,74,1364,UC Santa Barbara,56,N,0,28,51,8,22,10,16,7,19,14,9,5,1,13,23,49,4,16,6,9,3,19,12,12,3,1,15
2023,1163,Connecticut,87,1233,Iona,63,N,0,32,66,11,25,12,14,14,29,24,8,4,5,15,22,57,7,16,12,16,5,20,9,6,7,3,13
2023,1166,Creighton,72,1301,NC State,63,N,0,26,56,3,20,17,19,2,30,15,8,3,6,14,24,64,3,14,12,15,8,26,3,6,4,1,18
2023,1192,F Dickinson,63,1345,Purdue,58,N,0,24,62,7,23,8,10,9,19,11,8,11,3,19,19,53,5,26,15,19,11,25,15,16,3,6,13
2023,1194,FL Atlantic,66,1272,Memphis,65,N,0,25,65,8,28,8,11,16,20,12,8,2,2,13,25,58,6,22,9,12,11,22,11,8,6,3,12
2023,1211,Gonzaga,82,1213,Grand Canyon,70,N,0,30,56,7,15,15,19,10,28,13,12,6,8,15,28,65,9,24,5,7,4,18,11,6,5,0,16
2023,1231,Indiana,71,1245,Kent,60,N,0,29,62,5,14,8,11,10,29,14,7,4,7,13,22,69,7,21,9,12,16,20,11,9,6,4,12
2023,1243,Kansas St,77,1286,Montana St,65,N,0,32,55,4,15,9,12,6,19,21,14,9,3,16,25,54,6,21,9,17,5,15,14,15,8,3,13
2023,1246,Kentucky,61,1344,Providence,53,N,0,23,63,5,16,10,13,16,30,10,10,6,4,12,21,58,5,24,6,11,7,20,12,9,5,1,16
2023,1266,Marquette,78,1436,Vermont,61,N,0,29,56,10,20,10,15,5,24,15,5,7,1,11,23,53,8,25,7,10,4,20,15,10,3,1,14
2023,1274,Miami FL,63,1179,Drake,56,N,0,17,56,6,18,23,29,6,31,6,8,7,1,11,22,55,7,24,5,8,2,31,15,10,4,3,19
2023,1277,Michigan St,72,1425,USC,62,N,0,26,54,5,14,15,25,8,26,11,7,7,3,10,24,58,7,20,7,8,8,27,15,11,2,2,18
2023,1338,Pittsburgh,59,1235,Iowa St,41,N,0,14,41,6,19,25,29,5,31,10,14,6,4,19,14,60,2,21,11,19,13,20,7,8,8,3,22
2023,1388,St Mary's CA,63,1433,VCU,51,N,0,20,49,3,17,20,27,9,24,13,8,8,6,19,18,49,5,14,10,16,7,17,7,14,7,5,20
2023,1395,TCU,72,1113,Arizona St,70,N,0,22,62,8,23,20,27,12,22,14,5,6,4,20,25,52,8,17,12,18,4,26,10,11,3,7,21
2023,1462,Xavier,72,1244,Kennesaw,67,N,0,24,52,2,12,22,30,3,31,16,10,6,4,17,27,64,5,19,8,13,8,25,12,11,5,1,21
2023,1104,Alabama,73,1268,Maryland,51,N,0,23,58,6,21,21,28,13,26,7,10,9,4,18,19,54,1,8,12,21,9,19,6,12,7,5,18
2023,1116,Arkansas,72,1242,Kansas,71,N,0,24,58,3,15,21,26,14,20,8,9,5,3,25,24,50,5,13,18,25,6,21,9,9,5,4,23
2023,1222,Houston,81,1120,Auburn,64,N,0,25,60,7,22,24,29,10,25,11,6,4,12,25,20,53,5,16,19,36,7,18,11,8,1,3,22
2023,1343,Princeton,78,1281,Missouri,63,N,0,27,62,12,33,12,15,15,27,16,9,2,4,9,25,61,6,22,7,7,8,21,10,7,7,4,18
2023,1361,San Diego St,75,1202,Furman,52,N,0,29,58,6,20,11,14,8,29,17,10,5,6,18,16,50,6,26,14,18,4,13,7,9,3,3,17
2023,1397,Tennessee,65,1181,Duke,52,N,0,23,57,9,21,10,13,10,20,15,8,8,5,11,21,49,6,22,4,7,3,22,10,14,3,4,17
2023,1400,Texas,71,1336,Penn St,66,N,0,31,61,1,13,8,11,8,29,10,5,4,2,13,25,60,8,28,8,11,9,21,6,9,3,1,12
2023,1417,UCLA,68,1321,Northwestern,63,N,0,22,44,6,15,18,21,3,23,17,8,4,3,14,22,59,6,22,13,15,12,16,11,8,5,0,16
2023,1163,Connecticut,70,1388,St Mary's CA,55,N,0,27,50,10,22,6,7,3,27,15,13,2,5,16,19,49,4,14,13,19,3,19,9,8,6,1,13
2023,1166,Creighton,85,1124,Baylor,76,N,0,26,55,11,24,22,22,10,23,14,13,4,2,16,29,63,5,22,13,19,8,17,5,10,5,5,21
2023,1194,FL Atlantic,78,1192,F Dickinson,70,N,0,29,71,9,31,11,18,13,30,18,7,8,5,12,27,71,9,31,7,10,12,29,12,11,3,3,15
2023,1211,Gonzaga,84,1395,TCU,81,N,0,30,67,8,25,16,25,11,29,14,10,6,5,17,30,67,9,25,12,20,9,24,16,9,3,6,24
2023,1243,Kansas St,75,1246,Kentucky,69,N,0,26,54,5,21,18,22,4,19,14,8,11,4,17,26,63,4,20,13,17,17,25,12,16,6,1,17
2023,1274,Miami FL,85,1231,Indiana,69,N,0,34,70,9,23,8,13,19,26,14,12,7,3,13,26,63,8,25,9,14,11,18,10,12,9,7,14
2023,1277,Michigan St,69,1266,Marquette,60,N,0,24,54,2,16,19,23,10,26,8,10,9,3,19,20,52,11,27,9,14,7,22,11,16,3,0,18
2023,1462,Xavier,84,1338,Pittsburgh,73,N,0,30,63,8,24,16,26,4,32,22,8,6,4,21,27,70,6,20,13,20,10,29,11,8,2,5,18
2023,1163,Connecticut,88,1116,Arkansas,65,N,0,31,54,9,20,17,21,8,31,22,15,7,3,19,20,63,5,16,20,27,12,13,7,10,8,2,19
2023,1194,FL Atlantic,62,1397,Tennessee,55,N,0,21,50,8,27,12,16,11,27,12,12,1,2,14,21,63,6,23,7,12,15,18,12,6,7,1,18
2023,1211,Gonzaga,79,1417,UCLA,76,N,0,32,64,6,16,9,17,16,32,14,14,2,3,15,28,67,7,18,13,16,5,19,14,5,8,4,15
2023,1243,Kansas St,98,1277,Michigan St,93,N,1,38,68,11,24,11,16,6,21,26,5,10,3,24,31,63,13,25,18,22,9,20,18,13,2,6,16
2023,1166,Creighton,86,1343,Princeton,75,N,0,32,55,9,24,13,16,5,31,18,12,2,4,11,30,65,9,21,6,10,4,20,13,5,3,0,17
2023,1274,Miami FL,89,1222,Houston,75,N,0,31,60,11,25,16,19,6,28,16,5,4,4,16,24,64,9,31,18,20,9,24,16,8,3,4,16
2023,1361,San Diego St,71,1104,Alabama,64,N,0,26,69,6,17,13,22,13,29,10,11,9,8,18,23,71,3,27,15,20,18,32,10,14,5,5,22
2023,1400,Texas,83,1462,Xavier,71,N,0,32,61,7,12,12,19,5,25,16,9,8,3,16,28,64,7,17,8,12,9,24,12,12,2,4,15
2023,1163,Connecticut,82,1211,Gonzaga,54,N,0,30,72,11,31,11,14,13,32,21,7,3,5,18,20,60,2,20,12,22,6,30,13,9,2,1,12
2023,1194,FL Atlantic,79,1243,Kansas St,76,N,0,26,54,9,23,18,22,12,29,17,22,4,5,18,27,58,10,22,12,18,3,13,14,12,13,1,21
2023,1274,Miami FL,88,1400,Texas,81,N,0,29,49,2,8,28,32,4,19,11,12,9,1,14,30,60,10,25,11,15,9,14,20,13,6,1,23
2023,1361,San Diego St,57,1166,Creighton,56,N,0,25,66,3,13,4,6,12,23,6,7,1,3,11,22,55,2,17,10,11,8,24,9,9,3,2,11
2023,1163,Connecticut,72,1274,Miami FL,59,N,0,28,57,9,26,7,13,13,27,19,14,5,5,11,20,62,7,20,12,12,12,17,10,9,8,1,12
2023,1361,San Diego St,72,1194,FL Atlantic,71,N,0,25,57,9,18,13,22,12,23,8,8,3,2,17,23,52,9,22,16,21,7,24,6,9,6,2,17
2023,1163,Connecticut,76,1361,San Diego St,59,N,0,23,53,6,17,24,27,10,30,13,13,8,6,15,19,59,6,23,15,20,12,21,7,12,7,2,20
2024,1161,Colorado St,67,1438,Virginia,42,N,0,26,47,5,14,10,14,6,37,13,11,1,1,15,14,56,3,17,11,17,5,16,6,3,4,1,15
2024,1447,Wagner,71,1224,Howard,68,N,0,29,55,8,17,5,9,3,24,16,8,5,5,16,22,57,7,24,17,21,6,21,13,7,5,1,12
2024,1160,Colorado,60,1129,Boise St,53,N,0,21,48,4,15,14,15,5,24,12,10,5,3,13,23,67,2,18,5,6,15,21,4,9,5,1,17
2024,1212,Grambling,88,1286,Montana St,81,N,0,33,66,4,10,18,23,10,26,11,11,6,4,14,30,58,13,30,8,15,5,22,18,10,9,3,18
2024,1112,Arizona,85,1253,Long Beach St,65,N,0,30,72,13,35,12,17,11,33,19,9,10,8,17,24,72,3,17,14,22,13,31,11,12,6,3,14
2024,1166,Creighton,77,1103,Akron,60,N,0,26,46,10,17,15,20,4,32,11,14,0,4,12,25,66,6,28,4,6,9,17,8,4,5,1,20
2024,1173,Dayton,63,1305,Nevada,60,N,0,21,46,8,19,13,15,3,25,16,12,7,2,14,25,58,7,22,3,6,7,20,13,12,8,2,14
2024,1182,Duquesne,71,1140,BYU,67,N,0,26,56,7,18,12,16,5,22,13,9,7,7,17,22,57,8,24,15,17,8,24,16,11,6,2,18
2024,1211,Gonzaga,86,1270,McNeese St,65,N,0,31,60,10,21,14,18,9,29,22,13,4,2,16,23,69,5,22,14,19,13,18,10,6,7,2,16
2024,1228,Illinois,85,1287,Morehead St,69,N,0,32,59,12,26,9,12,9,27,24,9,5,7,9,26,65,11,30,6,8,6,19,14,6,7,0,13
2024,1235,Iowa St,82,1355,S Dakota St,65,N,0,33,57,11,23,5,8,5,22,23,9,11,4,15,23,53,10,24,9,11,6,18,15,15,4,2,13
2024,1242,Kansas,93,1359,Samford,89,N,0,35,58,6,18,17,27,7,34,25,17,5,7,21,30,73,16,37,13,23,9,21,23,7,7,1,20
2024,1277,Michigan St,69,1280,Mississippi St,51,N,0,27,54,10,23,5,6,11,23,14,13,7,3,15,20,54,6,27,5,10,10,14,13,14,9,2,11
2024,1301,NC State,80,1403,Texas Tech,67,N,0,27,53,5,13,21,26,7,23,15,10,8,5,14,24,62,7,31,12,14,9,21,15,9,3,2,20
2024,1314,North Carolina,90,1447,Wagner,62,N,0,33,60,9,18,15,19,12,29,14,9,4,3,13,23,58,7,18,9,15,7,13,8,7,5,2,13
2024,1324,Oakland,80,1246,Kentucky,76,N,0,26,63,15,31,13,23,13,26,16,6,5,1,18,26,61,9,28,15,20,10,28,17,11,2,6,18
2024,1332,Oregon,87,1376,South Carolina,73,N,0,28,47,7,16,24,30,4,26,16,9,8,6,15,25,56,11,24,12,19,6,18,17,10,3,3,22
2024,1397,Tennessee,83,1389,St Peter's,49,N,0,27,53,11,24,18,25,9,30,19,15,4,5,17,16,55,4,24,13,19,7,11,3,6,4,1,22
2024,1400,Texas,56,1161,Colorado St,44,N,0,22,55,1,14,11,17,7,29,3,10,9,2,12,17,58,6,24,4,6,13,29,8,18,3,3,18
2024,1450,Washington St,66,1179,Drake,61,N,0,21,55,7,14,17,22,11,26,12,11,5,4,13,25,59,5,15,6,14,6,23,18,8,7,3,21
