season_Season,season_WTeamID,season_WTeamName,season_WScore,season_LTeamID,season_LTeamName,season_LScore,season_WLoc,season_NumOT,season_WFGM,season_WFGA,season_WFGM3,season_WFGA3,season_WFTM,season_WFTA,season_WOR,season_WDR,season_WAst,season_WTO,season_WStl,season_WBlk,season_WPF,season_LFGM,season_LFGA,season_LFGM3,season_LFGA3,season_LFTM,season_LFTA,season_LOR,season_LDR,season_LAst,season_LTO,season_LStl,season_LBlk,season_LPF
2023,1101,Abilene Chr,65,1238,Jackson St,56,H,0,23,57,8,28,11,20,4,28,12,15,9,5,17,22,55,2,19,10,14,7,33,9,21,6,1,21
2023,1103,Akron,81,1355,S Dakota St,80,H,1,30,69,11,31,10,12,8,23,16,9,5,5,17,31,59,4,15,14,17,5,28,11,12,3,4,15
2023,1104,Alabama,75,1255,Longwood,54,H,0,27,69,3,28,18,26,19,43,10,19,6,9,18,19,71,5,13,11,19,12,23,8,9,8,3,22
2023,1112,Arizona,117,1311,Nicholls St,75,H,0,38,53,11,18,30,40,7,36,30,24,7,5,22,29,72,7,18,10,22,8,14,11,16,17,1,29
2023,1113,Arizona St,62,1470,Tarleton St,59,H,0,21,62,6,24,14,29,14,31,10,21,8,11,27,19,55,2,14,19,32,5,28,10,17,12,4,27
2023,1116,Arkansas,76,1295,N Dakota St,58,H,0,28,57,4,10,16,23,4,31,10,11,11,4,19,19,56,5,21,15,23,7,25,7,14,5,2,16
2023,1120,Auburn,70,1206,George Mason,52,H,0,24,71,4,25,18,29,19,23,12,9,14,10,16,21,56,7,20,3,8,7,24,9,19,3,4,23
2023,1124,Baylor,117,1290,MS Valley St,53,H,0,37,72,14,34,29,43,21,26,27,9,12,7,22,16,49,3,13,18,29,6,19,13,24,7,1,26
2023,1125,Belmont,70,1325,Ohio,69,H,0,28,57,7,25,7,13,5,21,17,12,8,6,13,26,60,9,20,8,9,7,22,8,14,5,0,16
2023,1130,Boston College,79,1165,Cornell,77,H,0,34,72,4,17,7,13,12,27,19,18,16,5,15,29,63,13,36,6,11,8,24,18,23,13,4,16
2023,1131,Boston Univ,72,1318,Northeastern,63,H,0,24,62,8,23,16,25,10,24,13,10,8,4,19,18,49,7,23,20,26,6,29,9,16,8,5,19
2023,1132,Bowling Green,62,1102,Air Force,58,H,0,22,56,6,20,12,19,6,29,9,13,8,2,14,22,55,12,34,2,4,2,25,10,11,5,5,17
2023,1138,Buffalo,88,1159,Colgate,87,H,0,35,65,6,21,12,22,3,22,16,13,12,3,22,30,56,5,15,22,29,3,31,18,17,5,2,17
2023,1139,Butler,89,1309,New Orleans,53,H,0,36,64,4,24,13,21,8,23,17,15,13,4,11,21,51,6,16,5,8,6,19,12,30,7,2,19
2023,1140,BYU,60,1226,Idaho St,56,H,0,22,59,3,16,13,19,11,27,9,23,12,4,20,19,50,8,25,10,14,3,26,7,21,15,2,20
2023,1150,Charlotte,82,1164,Coppin St,59,H,0,28,56,10,29,16,22,8,30,14,11,9,3,17,22,54,3,22,12,17,3,25,6,12,7,0,20
2023,1155,Clemson,80,1154,Citadel,69,H,0,30,65,7,22,13,18,13,27,19,8,8,1,15,24,56,11,25,10,12,5,23,11,12,1,3,18
2023,1158,Col Charleston,85,1151,Chattanooga,78,H,0,28,62,9,29,20,27,13,19,10,15,10,3,22,29,59,9,26,11,17,11,22,17,21,7,3,27
2023,1160,Colorado,82,1415,UC Riverside,66,H,0,30,64,6,13,16,26,10,27,15,13,9,4,12,29,72,4,21,4,10,12,28,7,12,5,4,22
2023,1161,Colorado St,65,1205,Gardner Webb,63,H,0,22,44,7,13,14,21,1,26,13,16,4,3,17,23,54,7,22,10,16,6,24,8,15,10,4,21
2023,1163,Connecticut,85,1476,Stonehill,54,H,0,29,63,5,24,22,31,15,25,16,15,11,8,20,16,45,5,17,17,22,4,16,9,23,10,2,21
2023,1166,Creighton,72,1472,St Thomas MN,60,H,0,26,66,8,34,12,14,12,25,11,4,5,6,10,24,58,9,22,3,4,5,24,10,12,4,2,15
2023,1173,Dayton,73,1473,Lindenwood,46,H,0,24,51,5,19,20,30,7,33,19,9,4,6,16,18,55,4,20,6,14,3,22,7,8,4,1,22
2023,1176,Denver,68,1225,Idaho,63,H,0,24,48,3,8,17,33,7,28,11,14,6,6,18,25,61,6,30,7,11,8,20,10,14,9,1,26
2023,1177,DePaul,72,1259,Loyola MD,66,H,0,25,58,8,27,14,18,12,25,11,13,10,4,16,24,60,10,24,8,17,12,22,10,14,6,1,19
2023,1181,Duke,71,1239,Jacksonville,44,H,0,27,59,10,29,7,11,15,27,19,12,6,3,12,18,53,3,23,5,5,6,17,12,11,5,3,18
2023,1191,Evansville,78,1275,Miami OH,74,A,0,28,60,7,23,15,20,8,25,9,12,5,2,17,26,60,6,23,16,20,7,20,11,13,7,1,16
2023,1195,FGCU,74,1425,USC,61,A,0,24,64,8,27,18,25,14,29,13,11,7,3,23,21,52,3,19,16,24,6,27,15,15,9,8,21
2023,1196,Florida,81,1392,Stony Brook,45,H,0,29,61,10,25,13,18,9,31,12,10,8,4,12,16,52,6,28,7,13,5,20,9,18,6,2,14
2023,1198,Florida Intl,77,1223,Houston Chr,66,H,0,33,66,3,16,8,12,12,25,12,14,12,8,8,25,64,12,23,4,5,14,23,13,22,5,1,11
2023,1200,Fordham,88,1171,Dartmouth,74,H,0,35,61,8,20,10,14,5,26,9,10,6,7,18,25,59,11,24,13,17,6,18,15,12,2,2,15
2023,1208,Georgia,68,1441,W Carolina,55,H,0,27,55,3,10,11,15,9,27,13,20,9,6,17,20,57,6,18,9,11,4,18,14,14,12,2,16
2023,1211,Gonzaga,104,1316,North Florida,63,H,0,43,67,5,12,13,16,9,32,22,14,15,2,26,21,59,8,30,13,22,11,19,13,22,7,1,19
2023,1213,Grand Canyon,60,1286,Montana St,54,H,0,23,53,6,21,8,14,3,24,8,8,4,1,19,20,52,3,13,11,18,9,23,10,10,5,5,21
2023,1220,Hofstra,83,1343,Princeton,77,A,0,36,66,7,17,4,6,5,25,12,8,5,3,20,29,59,5,20,14,20,8,25,13,10,3,4,12
