season_Season,season_WTeamID,season_WTeamName,season_WScore,season_LTeamID,season_LTeamName,season_LScore,season_WLoc,season_NumOT,season_WFGM,season_WFGA,season_WFGM3,season_WFGA3,season_WFTM,season_WFTA,season_WOR,season_WDR,season_WAst,season_WTO,season_WStl,season_WBlk,season_WPF,season_LFGM,season_LFGA,season_LFGM3,season_LFGA3,season_LFTM,season_LFTA,season_LOR,season_LDR,season_LAst,season_LTO,season_LStl,season_LBlk,season_LPF
2023,1103,Akron,81,1355,S Dakota St,80,H,1,30,69,11,31,10,12,8,23,16,9,5,5,17,31,59,4,15,14,17,5,28,11,12,3,4,15
2023,1104,Alabama,75,1255,Longwood,54,H,0,27,69,3,28,18,26,19,43,10,19,6,9,18,19,71,5,13,11,19,12,23,8,9,8,3,22
2023,1112,Arizona,117,1311,Nicholls St,75,H,0,38,53,11,18,30,40,7,36,30,24,7,5,22,29,72,7,18,10,22,8,14,11,16,17,1,29
2023,1116,Arkansas,76,1295,N Dakota St,58,H,0,28,57,4,10,16,23,4,31,10,11,11,4,19,19,56,5,21,15,23,7,25,7,14,5,2,16
2023,1120,Auburn,70,1206,George Mason,52,H,0,24,71,4,25,18,29,19,23,12,9,14,10,16,21,56,7,20,3,8,7,24,9,19,3,4,23
2023,1124,Baylor,117,1290,MS Valley St,53,H,0,37,72,14,34,29,43,21,26,27,9,12,7,22,16,49,3,13,18,29,6,19,13,24,7,1,26
2023,1140,BYU,60,1226,Idaho St,56,H,0,22,59,3,16,13,19,11,27,9,23,12,4,20,19,50,8,25,10,14,3,26,7,21,15,2,20
2023,1155,Clemson,80,1154,Citadel,69,H,0,30,65,7,22,13,18,13,27,19,8,8,1,15,24,56,11,25,10,12,5,23,11,12,1,3,18
2023,1166,Creighton,72,1472,St Thomas MN,60,H,0,26,66,8,34,12,14,12,25,11,4,5,6,10,24,58,9,22,3,4,5,24,10,12,4,2,15
2023,1181,Duke,71,1239,Jacksonville,44,H,0,27,59,10,29,7,11,15,27,19,12,6,3,12,18,53,3,23,5,5,6,17,12,11,5,3,18
2023,1196,Florida,81,1392,Stony Brook,45,H,0,29,61,10,25,13,18,9,31,12,10,8,4,12,16,52,6,28,7,13,5,20,9,18,6,2,14
2023,1208,Georgia,68,1441,W Carolina,55,H,0,27,55,3,10,11,15,9,27,13,20,9,6,17,20,57,6,18,9,11,4,18,14,14,12,2,16
2023,1211,Gonzaga,104,1316,North Florida,63,H,0,43,67,5,12,13,16,9,32,22,14,15,2,26,21,59,8,30,13,22,11,19,13,22,7,1,19
2023,1213,Grand Canyon,60,1286,Montana St,54,H,0,23,53,6,21,8,14,3,24,8,8,4,1,19,20,52,3,13,11,18,9,23,10,10,5,5,21
2023,1222,Houston,83,1294,N Colorado,36,H,0,32,72,11,29,8,10,17,23,16,8,14,6,13,10,39,5,21,11,16,6,20,5,21,3,3,12
2023,1228,Illinois,87,1183,E Illinois,57,H,0,30,64,9,26,18,33,20,33,16,15,10,9,16,21,60,3,15,12,20,7,20,9,16,12,2,25
2023,1242,Kansas,89,1303,NE Omaha,64,H,0,36,69,9,22,8,15,15,26,24,9,8,5,13,22,57,5,21,15,19,7,19,10,13,4,1,9
2023,1246,Kentucky,95,1224,Howard,63,H,0,34,62,11,24,16,28,8,32,20,10,10,5,12,23,67,7,25,10,13,11,22,10,16,4,1,19
2023,1266,Marquette,79,1347,Radford,69,H,0,27,59,5,19,20,25,8,30,18,18,9,3,20,26,63,5,25,12,20,7,24,11,14,8,3,20
2023,1268,Maryland,71,1310,Niagara,49,H,0,25,51,9,20,12,14,11,19,12,10,9,8,14,22,55,0,6,5,8,12,13,13,11,3,3,12
2023,1272,Memphis,76,1435,Vanderbilt,67,A,0,27,53,5,19,17,19,7,26,14,13,8,2,18,23,56,12,30,9,15,9,16,14,13,8,3,18
2023,1276,Michigan,75,1236,PFW,56,H,0,30,64,9,29,6,9,4,32,17,8,7,8,12,21,71,9,38,5,7,11,27,11,14,2,2,14
2023,1281,Missouri,97,1475,Southern Indiana,91,H,0,35,73,7,28,20,28,14,24,20,11,12,4,20,29,60,15,30,18,24,8,23,15,21,7,5,24
2023,1307,New Mexico,89,1381,Southern Utah,81,H,0,29,60,7,19,24,36,11,23,17,12,9,3,20,31,66,11,32,8,13,13,27,14,20,4,2,30
2023,1314,North Carolina,69,1423,UNC Wilmington,56,H,0,22,48,2,10,23,30,6,23,4,8,5,6,18,17,58,4,16,18,24,16,20,3,10,6,1,24
2023,1326,Ohio St,91,1352,Robert Morris,53,H,0,34,61,10,21,13,21,13,31,18,13,6,5,14,20,63,4,24,9,17,10,14,6,10,5,1,16
2023,1332,Oregon,80,1197,Florida A&M,45,H,0,29,63,6,25,16,28,17,24,15,10,13,5,12,18,48,3,18,6,8,4,19,5,18,5,0,22
2023,1358,Sam Houston St,52,1328,Oklahoma,51,A,0,21,64,6,23,4,9,10,25,9,12,9,1,15,16,43,5,19,14,20,3,31,6,20,4,5,12
2023,1370,Seattle,85,1471,UC San Diego,71,A,0,30,65,14,34,11,18,12,21,24,7,6,4,18,25,53,5,20,16,21,5,18,17,8,5,2,16
2023,1397,Tennessee,75,1399,Tennessee Tech,43,H,0,26,65,14,44,9,9,15,20,21,15,17,4,11,13,40,5,17,12,19,2,21,5,21,8,0,10
2023,1401,Texas A&M,87,1419,ULM,54,H,0,32,63,12,26,11,18,9,35,21,14,3,3,25,16,59,2,20,20,28,8,25,6,16,10,4,18
2023,1403,Texas Tech,73,1322,Northwestern LA,49,H,0,24,46,7,18,18,22,10,31,19,19,5,5,11,19,67,10,36,1,1,12,15,11,10,14,2,19
2023,1417,UCLA,76,1170,CS Sacramento,50,H,0,34,64,6,10,2,5,8,23,12,9,12,6,14,19,55,2,18,10,17,12,22,7,19,2,1,12
2023,1433,VCU,73,1264,Manhattan,56,H,0,23,54,8,24,19,33,10,18,12,14,16,2,16,21,41,5,14,9,14,1,29,12,27,6,3,27
2023,1458,Wisconsin,85,1377,South Dakota,59,H,0,28,55,12,26,17,23,6,30,14,10,8,4,15,23,57,2,15,11,17,6,25,7,10,5,2,20
2023,1182,Duquesne,91,1285,Montana,63,H,0,38,59,10,24,5,8,8,28,13,13,10,4,22,20,52,6,20,17,22,6,14,10,13,7,0,16
2023,1345,Purdue,84,1454,WI Milwaukee,53,H,0,27,72,12,34,18,22,20,29,18,10,14,11,13,23,60,3,19,4,9,3,23,10,19,7,5,20
2023,1179,Drake,80,1237,IUPUI,48,H,0,27,50,9,22,17,20,5,36,10,18,8,8,21,18,64,3,17,9,17,8,18,7,12,6,3,17
2023,1377,South Dakota,85,1252,Lipscomb,77,H,0,28,57,10,18,19,21,5,25,13,8,3,0,16,28,62,10,26,11,14,5,21,15,5,5,5,20
2023,1468,Bellarmine,67,1257,Louisville,66,A,0,21,43,7,15,18,22,3,23,9,11,3,1,15,22,52,11,28,11,14,10,22,12,13,3,3,19
2023,1166,Creighton,96,1315,North Dakota,61,H,0,38,74,12,27,8,11,18,28,21,11,9,2,8,25,54,8,15,3,6,1,17,14,14,7,2,12
2023,1242,Kansas,82,1295,N Dakota St,59,H,0,35,72,7,20,5,10,13,32,22,9,8,6,16,21,58,9,32,8,13,7,24,13,13,2,3,10
2023,1266,Marquette,97,1141,C Michigan,73,H,0,35,66,13,38,14,27,7,24,27,13,13,1,19,26,58,7,23,14,21,8,26,17,21,7,0,20
2023,1268,Maryland,71,1441,W Carolina,51,H,0,27,61,2,19,15,19,8,30,10,12,7,5,14,17,63,7,28,10,13,12,25,6,16,5,1,23
2023,1403,Texas Tech,78,1411,TX Southern,54,H,0,28,61,5,17,17,22,6,26,12,12,8,2,14,21,60,4,18,8,15,11,26,7,19,5,4,22
2023,1104,Alabama,95,1251,Liberty,59,H,0,27,52,10,22,31,38,11,31,14,15,8,6,23,18,55,8,29,15,20,3,14,13,13,6,1,25
2023,1112,Arizona,95,1380,Southern Univ,78,H,0,30,55,5,20,30,46,8,40,24,19,6,6,22,25,69,8,23,20,30,8,21,14,10,12,1,35
2023,1116,Arkansas,74,1200,Fordham,48,H,0,30,65,2,16,12,18,14,21,17,12,13,4,19,17,45,4,17,10,17,8,18,7,27,4,0,17
2023,1120,Auburn,67,1378,South Florida,59,H,0,21,52,5,25,20,32,12,25,12,18,11,7,22,22,62,2,14,13,25,16,20,7,16,10,1,23
2023,1124,Baylor,87,1313,Norfolk St,70,H,0,28,57,15,38,16,25,13,14,20,15,12,3,20,24,48,6,17,16,21,7,19,13,19,8,0,18
2023,1136,Bryant,89,1171,Dartmouth,70,A,0,31,59,5,15,22,33,10,26,8,14,14,5,17,25,53,10,28,10,24,6,22,15,20,6,4,26
2023,1181,Duke,84,1367,SC Upstate,38,H,0,30,68,7,21,17,26,17,31,16,11,15,7,12,15,54,7,23,1,2,7,19,6,22,6,6,21
2023,1196,Florida,88,1244,Kennesaw,78,H,0,30,55,4,11,24,33,6,28,11,10,4,10,17,30,70,6,17,12,18,9,22,11,7,8,2,20
2023,1211,Gonzaga,64,1277,Michigan St,63,N,0,23,55,4,18,14,22,9,28,8,18,11,7,22,21,52,3,16,18,28,6,22,11,15,9,1,22
2023,1222,Houston,81,1386,St Joseph's PA,55,N,0,33,65,5,26,10,16,12,29,17,9,9,6,22,16,54,5,24,18,27,12,24,3,16,6,1,19
2023,1228,Illinois,86,1282,Missouri KC,48,H,0,30,64,8,27,18,26,11,28,15,11,11,8,11,20,64,3,21,5,7,12,24,8,23,5,2,21
2023,1246,Kentucky,77,1182,Duquesne,52,H,0,28,61,11,19,10,15,11,31,22,14,9,11,7,20,66,7,26,5,8,6,22,13,11,8,1,16
2023,1276,Michigan,88,1185,E Michigan,83,N,0,29,60,5,21,25,40,9,29,15,11,8,5,21,29,64,5,15,20,27,4,25,9,11,7,2,28
2023,1280,Mississippi St,73,1103,Akron,54,N,0,29,55,7,14,8,13,10,30,17,14,9,0,21,16,49,6,27,16,24,5,15,13,9,8,1,15
2023,1281,Missouri,92,1335,Penn,85,H,0,28,61,16,35,20,26,11,14,20,9,15,0,13,29,59,16,32,11,11,11,19,16,18,7,3,21
2023,1307,New Mexico,80,1375,South Alabama,74,H,0,29,66,6,19,16,23,7,22,19,6,4,1,9,31,61,7,20,5,6,5,23,16,15,2,5,20
2023,1314,North Carolina,102,1158,Col Charleston,86,H,0,35,58,5,20,27,38,8,20,14,8,6,8,14,36,73,8,24,6,9,13,20,10,14,5,1,26
2023,1328,Oklahoma,66,1115,Ark Pine Bluff,58,H,0,22,46,3,14,19,28,3,29,10,13,5,5,13,23,56,3,10,9,13,4,25,9,8,7,2,24
2023,1345,Purdue,63,1122,Austin Peay,44,H,0,24,48,2,19,13,17,9,27,13,14,2,2,17,15,53,4,24,10,11,6,14,6,5,4,1,17
